event-id,visible,timestamp,location-long,location-lat,external-temperature,ground-speed,heading,height-above-msl,gls:light-level,sensor-type,individual-taxon-canonical-name,tag-local-identifier,individual-local-identifier,study-name
18443072797,TRUE,58:26.0,-84.550272,45.3987936,20.5,0,0,200.9,0,gps,Buteo jamaicensis,7507,MACK07,Full cycle migration of RTHA through the Great Lakes
18443072798,TRUE,58:31.0,-84.5511296,45.3992384,19.7,0,0,182.9,8,gps,Buteo jamaicensis,7507,MACK07,Full cycle migration of RTHA through the Great Lakes
18466786942,TRUE,58:51.0,-84.5498752,45.3996128,22.9,0.1,0,223.8,22,gps,Buteo jamaicensis,7507,MACK07,Full cycle migration of RTHA through the Great Lakes
18466786943,TRUE,58:25.0,-84.5494912,45.399808,20.5,0,0,217.3,1,gps,Buteo jamaicensis,7507,MACK07,Full cycle migration of RTHA through the Great Lakes
18466786944,TRUE,59:20.0,-84.5469376,45.3995296,26.5,0.3,0,266.5,0,gps,Buteo jamaicensis,7507,MACK07,Full cycle migration of RTHA through the Great Lakes
18466786945,TRUE,58:31.0,-84.545664,45.3994144,27.3,0.3,0,220.6,0,gps,Buteo jamaicensis,7507,MACK07,Full cycle migration of RTHA through the Great Lakes
18466786946,TRUE,58:49.0,-84.5456832,45.3994176,24.5,0.3,0,205.9,0,gps,Buteo jamaicensis,7507,MACK07,Full cycle migration of RTHA through the Great Lakes
18466786947,TRUE,58:31.0,-84.5502912,45.3998784,19.9,0,0,253.9,6,gps,Buteo jamaicensis,7507,MACK07,Full cycle migration of RTHA through the Great Lakes
18466786948,TRUE,58:55.0,-84.5502784,45.3988608,21.2,0.1,0,232.2,18,gps,Buteo jamaicensis,7507,MACK07,Full cycle migration of RTHA through the Great Lakes
18466786949,TRUE,58:31.0,-84.5490752,45.3919136,15.6,0,0,153.8,145,gps,Buteo jamaicensis,7507,MACK07,Full cycle migration of RTHA through the Great Lakes
18475525563,TRUE,59:55.0,-84.5356608,45.3829056,20.1,0.4,0,214.4,81,gps,Buteo jamaicensis,7507,MACK07,Full cycle migration of RTHA through the Great Lakes
18475525564,TRUE,58:30.0,-84.5505216,45.401104,20.1,0,0,243,1,gps,Buteo jamaicensis,7507,MACK07,Full cycle migration of RTHA through the Great Lakes
18475525565,TRUE,59:23.0,-84.5509184,45.4012704,28.3,0.3,0,185,0,gps,Buteo jamaicensis,7507,MACK07,Full cycle migration of RTHA through the Great Lakes
18475525566,TRUE,59:38.0,-84.5506112,45.4012896,27.7,1.9,0,196.3,0,gps,Buteo jamaicensis,7507,MACK07,Full cycle migration of RTHA through the Great Lakes
18475525567,TRUE,59:09.0,-84.5516736,45.3991776,16.7,0.1,0,233.2,16,gps,Buteo jamaicensis,7507,MACK07,Full cycle migration of RTHA through the Great Lakes
18475525568,TRUE,58:57.0,-84.5465408,45.3787456,20.7,0.2,0,222.2,444,gps,Buteo jamaicensis,7507,MACK07,Full cycle migration of RTHA through the Great Lakes
18475525569,TRUE,59:00.0,-84.3783936,45.2928288,19,0,0,266.7,1245,gps,Buteo jamaicensis,7507,MACK07,Full cycle migration of RTHA through the Great Lakes
18483145435,TRUE,58:31.0,-84.2217408,45.1608576,21.6,5.9,0,329.7,12188,gps,Buteo jamaicensis,7507,MACK07,Full cycle migration of RTHA through the Great Lakes
18483145436,TRUE,58:32.0,-84.148864,45.03632,18.6,0,0,317.6,15,gps,Buteo jamaicensis,7507,MACK07,Full cycle migration of RTHA through the Great Lakes
18483145437,TRUE,59:01.0,-84.1473216,45.0384832,27.8,0,0,240.7,0,gps,Buteo jamaicensis,7507,MACK07,Full cycle migration of RTHA through the Great Lakes
18483145438,TRUE,58:50.0,-84.1475328,45.0383296,27.4,0.2,0,335.3,0,gps,Buteo jamaicensis,7507,MACK07,Full cycle migration of RTHA through the Great Lakes
18483145439,TRUE,58:31.0,-84.1479808,45.0421408,19,0,0,304.6,37,gps,Buteo jamaicensis,7507,MACK07,Full cycle migration of RTHA through the Great Lakes
18483145440,TRUE,58:50.0,-84.1581056,45.0436672,24.8,0,0,294.4,14,gps,Buteo jamaicensis,7507,MACK07,Full cycle migration of RTHA through the Great Lakes
18483145441,TRUE,58:31.0,-84.3298176,45.4425568,26.8,0.1,0,221,54,gps,Buteo jamaicensis,7507,MACK07,Full cycle migration of RTHA through the Great Lakes
18490900566,TRUE,58:31.0,-84.635648,45.6925344,14.4,17.6,189.2,620.4,5367,gps,Buteo jamaicensis,7507,MACK07,Full cycle migration of RTHA through the Great Lakes
18490900567,TRUE,58:09.0,-84.5142848,45.456096,20.3,0,0,229.8,7,gps,Buteo jamaicensis,7507,MACK07,Full cycle migration of RTHA through the Great Lakes
18490900568,TRUE,58:56.0,-84.514592,45.4562848,27.3,0.9,142.2,189.7,0,gps,Buteo jamaicensis,7507,MACK07,Full cycle migration of RTHA through the Great Lakes
